designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 598694977656708224,598694977656708224,132.82324495427613,11.32104457462136,1.3918408317044155,-8.995875091225589,-2.1225433182422977,1.0009875,20.439718,1.6622677,0.7194214,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695007721506432,598695007721506432,132.79455651589632,11.317110909195504,1.1369567096257727,-11.086530710700039,-2.906036538699799,0.9332137,17.255587,1.7298908,0.8291874,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4325.351,4.5296,0.0244,958.1476,0.6383,0.4662,0.2492
Gaia DR3 598695042081246848,598695042081246848,132.7991974061322,11.335714491248032,0.40801486714289686,-1.006746285037853,-6.821384267554054,1.0258673,18.908665,0.7972069,0.369421,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5677.4053,4.741,-1.6629,3997.259,0.0024,0.002,0.0011
Gaia DR3 598695523122046464,598695523122046464,132.9053575179185,11.322769019588545,1.4014356886922734,-2.3328953692961436,-0.3974161621858171,0.97317,19.762663,2.1625175,1.1257076,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695591837239680,598695591837239680,132.89330324432612,11.333561298935457,1.1617089145300823,-0.10150579205640897,-0.010290863898554967,1.0679108,19.65803,1.6342583,0.69397545,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695596133329664,598695596133329664,132.8884242782535,11.325769360971604,,,,,21.316372,1.5950089,-1.230236,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695694916018816,598695694916018816,132.913386328557,11.31984853572705,0.80281595895363,-4.37499451336499,6.549933896044007,0.92032135,13.846713,0.6359329,0.24155712,28.28361,NOT_AVAILABLE,0,true,true,false,false,false,true,true,6521.0024,4.2039,-0.7365,1121.472,0.1596,0.1392,0.0755
Gaia DR3 598695699211075072,598695699211075072,132.92176291704357,11.319887709857996,,,,,21.143526,1.0968456,-0.142519,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 598695699211194368,598695699211194368,132.91823922268063,11.319405266559784,0.5037159107865922,1.838837191100152,-1.1618511105124971,0.9251845,16.65204,0.76783943,0.29784203,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5776.0063,4.676,-0.836,1652.6918,0.0024,0.002,0.0011
Gaia DR3 598695699211194880,598695699211194880,132.91593385025095,11.319515509915655,0.40413380974158924,-3.385489659000414,-3.4448961679939916,0.9889954,14.700944,1.0735044,0.4540863,95.6637,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5304.4355,3.6843,-0.1406,1952.3369,0.3333,0.2702,0.1444
